"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"ME","221DL","Structure and Properties of Solids","Introduction to materials science and engineering, emphasizing the relationships between the structure of a solid and its properties. Atomic and molecular origins of electrical, mechanical, and chemical behavior are treated in some detail for metals, alloys, polymers, ceramics, glasses, and composite materials. Prerequisite: Chemistry 20, 21, or 101DL and Engineering 201L or Biomedical Engineering 110L.","Graded","-"
"ME","221L","Structure and Properties of Solids","Introduction to materials science and engineering, emphasizing the relationships between the structure of a solid and its properties. Atomic and molecular origins of electrical, mechanical, and chemical behavior are treated in some detail for metals, alloys, polymers, ceramics, glasses, and composite materials. Prerequisite: Chemistry 20, 21, or 101DL and Engineering 201L or Biomedical Engineering 110L.","Graded","-"
"ME","321L","Mechanical Engineering Analysis for Design","Calculation of 3D stresses, strains, and deflections encountered in mechanical designs. Types of problems include: curved beams, contact stresses, press/shrink fits, etc. Reliability and uncertainty analysis, failure theories, fatigue, and fracture mechanics. Computational methods of analysis, such as finite elements analysis are covered. Prerequisite: Engineering 121L, 201L, 244L, and Mathematics 353.","Graded","-"
"ME","331L","Thermodynamics","The principal laws of thermodynamics for open and closed systems and their application in engineering.  Properties of the pure substance, relationships among properties, mixtures and reactions.  Power and refrigeration cycle analysis.  Prerequisite: (Mathematics 212 or 219) and Physics 151L.","Graded","Fall and/or Spring"
"ME","336L","Fluid Mechanics","An introductory course emphasizing the application of the principles of conservation of mass, momentum, and energy in a fluid system.  Physical properties of fluids, dimensional analysis and similitude, viscous effects and integral boundary layer theory, subsonic and supersonic flows, normal shockwaves.  Selected laboratory work.  Prerequisites: Engineering 244L and Mechanical Engineering 331L, Co-requisite or prerequisite: Mathematics 353.","Graded","Fall and/or Spring"
"ME","344L","Control of Dynamic Systems","Model dynamic systems, characterize time and frequency domain response with respect to particular inputs. Characterize systems in terms of rise-time, settling-time, bandwidth. Identify the difference between stable and unstable system. Apply feedback control to modify response of dynamic systems. Develop methods of designing compensators for single-input, single-output, and multiple-input, multiple-output dynamic systems. Introduces optimal control theory, the linear quadratic regulator problem, the linear quadratic Gaussian problem. Gain a physical understanding of role of feedback control in modifying the dynamics of a system. Prerequisite: (Engineering 224L or ECE 280L) and Mathematics 216. Not open to students who have taken ECE 382.","Graded","Fall and/or Spring"
"ME","391","Undergraduate Projects in Mechanical Engineering","Individual projects arranged in consultation with a faculty member. Open to students who show special aptitude for research and design. Taught in the Fall. Consent of director of undergraduate studies.","Graded","-"
"ME","392","Undergraduate Projects in Mechanical Engineering","Individual projects arranged in consultation with a faculty member. Open to students who show special aptitude for research and design. Taught in the Spring. Consent of director of undergraduate studies.","Graded","-"
"ME","394","Engineering Undergraduate Fellows Projects","Intensive research project in Mechanical Engineering by students selected as Engineering Undergraduate Fellows. Course credit is contingent upon satisfactory completion of 493 and 494. Consent of instructor and program director required.","Graded","-"
"ME","412","Modern Materials","Modern Materials will examine the underlying molecular details that give materials their specific properties. The course will emphasize polymers, photovoltaics, magnetic materials, and biocompatible ceramics. Each module will begin with an overview of applications, economics, and history of the material. Starting with the standard characterization methods for each material, we will work towards an understanding of the fundamental physics and chemistry that leads to the unique properties of each material. The course will draw upon fundamental concepts in materials science, chemistry, physics, and calculus.","Graded","Fall Only"
"ME","419","Molecular Modeling of Soft Matter","Fundamentals and application of statistical mechanics and molecular simulations towards modeling biological and soft materials. Students will learn a variety of computational techniques including energy minimization, molecular dynamics simulations, Monte Carlo simulations, and stochastic dynamics simulations. Students will obtain valuable hands on experience in using molecular simulation software, visualizing molecular systems, and analyzing simulation data for computing material properties. Prerequisites: Basic programming skills in C, MATLAB, Fortran, or Python. Basic undergraduate-level understanding of concepts in mathematics, physics, and chemistry.","Graded","Fall Only"
"ME","421L","Mechanical Design","A study of practical aspects of mechanical design including conceptualization, specifications, and selection of mechanical elements.  The design and application of mechanical components such as gears, cams, bearings, springs, and shafts.  Practice in application of process through design projects. Prerequisite: Mechanical Engineering 221L and 321L.","Graded","Fall and/or Spring"
