"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"BME","195FS","Medical Instrumentation in the Developing World (GE)","Medical devices have revolutionized healthcare in the developed world. Yet, this technology revolution has failed to reach the developing world. Compared to the estimated 1.5 million medical devices introduced in the developed world in the last 50 years, only a few dozen pieces of medical equipment have been specifically designed to be appropriate and affordable for resource poor settings. We will examine and discuss the factors that make the research, design & development, introduction & marketing, maintenance and use of medical devices in resource poor settings uniquely challenging conditions. Focus students only.","Graded","Occasionally"
"BME","221A","Biomaterials","This course provides an introduction to Materials Science, with an emphasis on the materials and applications relevant to Biomedical Engineering. The course emphasizes the relationships between the structure and properties of materials, with a focus on their mechanical, biological, and surface properties. Electrical, optical, and thermal properties will also be touched upon. Classes of materials to be addressed include metals, polymers, ceramics, gels, and composites. The course will close with an introduction to biocompatibility and the foreign body response. The course will be taught in Berlin, Germany.","Graded","Fall and/or Spring"
"BME","221DL","Biomaterials","This course provides an introduction to Materials Science, with an emphasis on the materials and applications relevant to Biomedical Engineering. The course emphasizes the relationships between the structure and properties of materials, with a focus on their mechanical, biological, and surface properties. Electrical, optical, and thermal properties will also be touched upon. Classes of materials to be addressed include metals, polymers, ceramics, gels, and composites. The course will close with an introduction to biocompatibility and the foreign body response. Prerequisite: EGR 201L.","Graded","Fall and/or Spring"
"BME","221L","Biomaterials","This course provides an introduction to Materials Science, with an emphasis on the materials and applications relevant to Biomedical Engineering. The course emphasizes the relationships between the structure and properties of materials, with a focus on their mechanical, biological, and surface properties. Electrical, optical, and thermal properties will also be touched upon. Classes of materials to be addressed include metals, polymers, ceramics, gels, and composites. The course will close with an introduction to biocompatibility and the foreign body response. Prerequisite: Engineering 201L.","Graded","Fall and/or Spring"
"BME","230L","Global Women's Health Technologies","Exploration of the intersection of technology, women's health, and global poverty. Analysis of case studies related to human-centered design and applications of engineering to solve global health challenges. Hands-on learning of engineering concepts related to circuitry and light as well as skills needed to prototype a functional light source. Application of course knowledge in a design challenge based on a need from a real-world client in a low-resource setting. Open to both Trinity and Pratt students.","Graded","Spring Only"
"BME","244L","Quantitative Physiology with Biostatistical Applications","An examination of the importance of mass and energy balances, transport processes, mechanics, energetics, and electrical activity in physiological systems. Lectures cover cellular physiology, cardiovascular system, nervous system, muscle physiology, and renal physiology. Labs complement lecture topics and introduce statistical methods related to the measurement and analysis of physiological data. Statistical topics include: descriptive statistics; hypothesis testing; correlation, regression, and goodness of fit; ANOVA and post-hoc tests; power analysis and experimental design. Prerequisite: Engineering 103L or Computer Science 201 and co-/prerequisite: (Biology 201L or Biology 203L) and (Mathematics 212, 216, 218D-2, 219, 221, 222 or 353).","Graded","Fall and/or Spring"
"BME","254L","Medtech Prototyping Skills (GE)","This course focuses on developing medical device prototyping skills that will be used in future project and design courses, with a focus on preparing our students for positions in the medtech industry. Students will work individually to complete design tasks in a mechanical design (CAD and 3D printing), ECAD (circuit schematic capture and PCB layout), version control (git) and firmware development. Each student will design and fabricate a device they have designed that incorporates all of these components. Prerequisite: EGR103 or EGR 105L or CS 201 (GE).","Graded","Fall and/or Spring"
"BME","260L","Modeling Cellular and Molecular Systems","An introduction to the application of engineering models to study cellular and molecular processes. Topics covered include the conservation of mass and energy, kinetic analysis of reactions, and enzyme kinetics. Students complete projects in which they write and solve differential equations that model complex biological systems. Applications to biotechnology are discussed. Corequisite: Biomedical Engineering 244L and Mathematics 212 or 219 or 222. Prerequisite: Biology 201L or 203L; or consent of the instructor.","Graded","Fall and/or Spring"
"BME","271A","Signals and Systems","Convolution, deconvolution, Fourier series, Fourier transform, sampling, and the Laplace transform. Continuous and discrete formulations with emphasis on computational and simulation aspects and selected biomedical examples. Prerequisite: Biomedical Engineering 253L or Electrical and Computer Engineering 110L; Mathematics 216; or consent of the instructor.","Graded","Occasionally"
"BME","271D","Signals and Systems","Convolution, deconvolution, Fourier series, Fourier transform, sampling, and the Laplace transform. Continuous and discrete formulations with emphasis on computational and simulation aspects and selected biomedical examples. Prerequisite: Biomedical Engineering 253L or Electrical & Computer Engineering 110L and Mathematics 216, 218, 221, or 356.","Graded","Fall and/or Spring"
