"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"ECE","110L","Fundamentals of Electrical and Computer Engineering","Students learn core ECE concepts, providing a foundation on which subsequent courses build. Concepts include techniques for analyzing linear circuits, semiconductor and photonic devices, frequency representation, filtering, combinational and sequential logic. Central to the course is an extensive design challenge that requires students to integrate knowledge across topics while honing practical design and project management skills. Course culminates in an exciting competition in which teams of robots race to overcome challenging obstacles using sensor data acquisition and processing. Prerequisite/corequisite: (Engineering 103L or Engineering 105L or Computer Science 201) and (Mathematics 112L or 22 or equivalent).","Graded","Fall and/or Spring"
"ECE","230L","Introduction to Microelectronic Devices and Circuits","Introduction to semiconductor materials and their corresponding electronic devices and circuits. In lab, students will perform photolithography and characterize devices and circuits. Lecture will cover: underlying physics of semiconductor materials; operation of semiconductor devices, including diodes and transistors (MOSFETs); and application of MOSFETs into digital circuits. Students will understand basic operation of semiconductor devices in a way that is foundational for the expansive semiconductor industry.","Graded","Fall and/or Spring"
"ECE","250D","Computer Architecture","Computer structure, assembly language, instruction execution, addressing techniques, and digital representation of data. Computer system organization, logic design, microprogramming, cache and memory systems, and input/output interfaces. Prerequisite: Computer Science 201.","Graded","Fall and/or Spring"
"ECE","253","User Research Methods in Human-Centered Computing","This course serves as an introduction to a wide range of user-centered research study design methods and quantitative and qualitative data analysis techniques that students can use to capture users' perceived and real attitudes and behaviors toward technologies and policies. The course is most suitable for students who have some programming, algorithms, and data analysis background (e.g., an undergraduate computer programming course, such as Computer Science 201). In addition, having statistical knowledge and experience using statistical analysis tools, including R, Python, and STATA, is encouraged but not required.","Graded","Fall Only"
"ECE","270DL","Fields and Waves: Fundamentals of Information Propagation","Introduces the concept of fields - a mathematical description of physical quantities that vary from place to place (and potentially from time to time) - and explores the mathematical & physical reasons that oscillatory behavior is so ubiquitous across engineering and physics. Introduces mathematical foundations, followed by specific examples in electrical circuits, electromagnetic waves, quantum mechanics, & acoustics as well as the connection to Fourier analysis methods. Intended to facilitate subsequent study in any area involving wave phenomena, including analog & microwave circuits, electromagnetics, optics, & quantum mechanics. Prerequisite: Physics 152L, Math 212 or 219 or 222, & ECE 110L.","Graded","Fall and/or Spring"
"ECE","280L","Introduction to Signals and Systems","Introduction to signals, signal properties, systems, and system properties. Time and frequency domain analysis of signals and systems. Exploration of filtering, sampling, communication systems, image processing, and other real-world applications. Laboratory projects using signal processing tools to investigate real world scenarios. Computational analysis of one and two dimensional signals and systems.","Graded","Fall and/or Spring"
"ECE","290","Special Topics in Electrical and Computer Engineering","Study arranged on a special electrical and computer engineering topic in which the faculty has particular interest and competence as a result of research and professional activities. Instructor consent required.","Graded","Fall and/or Spring"
"ECE","291","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For sophomore students. Consent of instructor and director of undergraduate studies required.","Graded","Fall Only"
"ECE","292","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For sophomore students. Consent of instructor and director of undergraduate studies required.","Graded","Spring Only"
"ECE","330L","Fundamentals of Microelectronic Devices","Fundamentals of semiconductor device physics (semiconductor technology, dopants and carrier concentrations, carrier drift and diffusion, semiconductor equations, semiconductor device models). Principles of semiconductor device analysis (current-voltage and capacitance-voltage characteristics). Static, small-signal, and dynamic operation of semiconductor contacts, PN-junction diodes, MOS capacitors, MOS field-effect transistors (MOSFETs), and bipolar-junction transistors (BJTs). SPICE models and parameter extraction. Fabrication and electrical characterization of MOS capacitors in the Shared Materials Instrumentation Facility (SMIF). Prerequisite: ECE 230L.","Graded","Fall Only"
"ECE","331L","Fundamentals of Microelectronic Circuits","Analysis and design of electronic circuits in bipolar and MOS technologies, with emphasis on both large-signal and small-signal methods. Circuits for logic gates, latches, and memories. Single-stage and multistage amplifiers and op amps. Circuits with feedback, including stability and frequency response considerations. Analog and mixed analog/digital circuit applications. Extensive use of SPICE for circuit simulation. Prerequisite: Electrical and Computer Engineering 230L.","Graded","Fall and/or Spring"
"ECE","340L","Optics and Photonics","Ray optics, wave optics, beam optics, resonators, atom-photons, interaction, interference, diffraction, polarization, lasers, light detection, electromagnetic optics. Laboratory experiments apply concepts in basic optics. Prerequisite: Electrical and Computer Engineering 270L or equivalent.","Graded","Fall Only"
"ECE","341L","Solar Cells","A broad overview of solar cells, including solar radiation, device theory, materials options, device fabrication and characterization, and system-level issues. Students participate in hands-on laboratory exercises related to the fabrication and characterization of organic, photovoltaic solar cells. Prerequisite: Physics 152L or equivalent.","Graded","Spring Only"
"ECE","350L","Digital Systems","Design and implementation of combinational and sequential digital systems with special attention to digital computers. The use of computer-aided design tools, hardware description languages, and programmable logic chips to facilitate larger and higher performance designs will be stressed. Laboratory exercises and group design projects will reinforce the various design techniques discussed in class. Prerequisite: Electrical and Computer Engineering 250D or Computer Science 250.","Graded","Spring Only"
"ECE","351","Software Engineering","This course covers requirements analysis, design principles, abstraction, design patterns, software architecture, code reviews, code walks, code inspections, testing, maintenance, code improvement, and teamwork.","Graded","Fall and/or Spring"
"ECE","353","Introduction to Operating Systems","Basic concepts and principles of multiprogrammed operating systems. Processes, interprocess communication, CPU scheduling, mutual exclusion, deadlocks, memory management, I/O devices, file systems, protection mechanisms. Also taught as Electrical and Computer Engineering 353. Prerequisites: Computer Science 201; and either of Computer Science 210D, Computer Science 250D or Electrical and Computer Engineering 250D.","Graded","Fall Only"
"ECE","356","Computer Network Architecture","Introduces students to the fundamentals of computer networks. Focus on layered architecture of the network protocol stack. Case studies drawn from the Internet, combined with practical programming exercises. Concepts include the Internet architecture, HTTP, DNS, P2P, Sockets, TCP/IP, BGP, routing protocols, and wireless/mobile networking and their applications such as how to achieve reliable/secure communications over channels, how to find a good path through a network, how to share network resources among competing entities, how to find an object in the network, and how to build network applications. Prerequisite: ECE 250D, CompSci 210D or CompSci 250D.","Graded","Fall and/or Spring"
"ECE","364","Performance and Technology: Composition Workshop","Workshop exploration of technologies embedded in performance: robots, media, computer interface. Students create performance projects and discuss theoretical and historical implications of technologies in performance. Open to dancers, actors, musicians, spoken word artists and all those interested in technology and the arts. No previous experience or programming skills required.","Graded","Fall and/or Spring"
"ECE","365","Rainforest Engineering","An open-format project-based class for student team design with a focus on rainforests and related environments. Engages students in cross-disciplinary team challenges that teach them to work together with other students of differing backgrounds and skills. Design challenges are similar to the XPRIZE contests, or the NAE Grand Challenges. Prerequisite: Electrical and Computer Engineering 230L or 250D or 270DL or 280L or Mechanical Engineering 221L or Engineering 244L or Environment 102.","Graded","Spring Only"
"ECE","366A","Drones in Marine Biology, Ecology, and Conservation","Lecture-based version of Environment 335LA. Includes a full overview of past and emerging applications for ecology and biology of marine species and coastal habitats, with in-depth discussion on future of drone applications in coastal biological and ecological research. Comprehensive exploration of current drone technologies, including detection of target species, payloads, aeronautical concepts, rules and regulations, mission planning, aircraft design, maintenance, data collection, management and analysis. Lab components tailored to student interests: active participation in megafaunal or environmental research and data analysis; building, operating and maintaining aircraft, programming for manual and autonomous flight. Taught in Beaufort at Duke Marine Lab.","Graded","Occasionally"
"ECE","370D","Intermediate Electromagnetic Theory","Fundamentals of electrostatic and magnetostatic fields, including fields in matter, and magnetostatic forces. Boundary value problems, Maxwell's Equations, and propagation of electromagnetic waves. Fundamentals and application of transmission lines, waveguides, and antennas. Prerequisite: Electrical and Computer Engineering 270DL.","Graded","Fall Only"
"ECE","380","Introduction to Random Signals and Noise","Introduction to probability and random processes with example applications to processing data with uncertainty. Probability, conditional probability, discrete & continuous random variables, expected values, characteristic functions, multiple random variables. Intro to random processes, random discrete-time signals, power spectrum, autocorrelation, analysis of linear systems driven by wide-sense stationary random processes. Gaussian random processes, band limited white Gaussian noise. Intro to binary hypothesis testing, Bayesian signal detection, applications involving uncertain & random signals & noise. Prerequisite: ECE 280L, Math 212 or 219.","Graded","Spring Only"
